iter	Passed	Remaining
0	2	215
1	9	455
2	12	394
3	14	341
4	16	318
5	18	297
6	21	284
7	24	281
8	26	271
9	29	263
10	32	260
11	35	263
12	38	257
13	40	248
14	43	243
15	45	238
16	49	243
17	52	237
18	54	232
19	58	232
20	60	229
21	63	223
22	65	219
23	67	214
24	70	210
25	72	205
26	75	203
27	77	199
28	79	195
29	82	191
30	85	189
31	88	187
32	90	184
33	93	181
34	95	177
35	98	174
36	100	171
37	104	170
38	106	166
39	108	162
40	110	158
41	111	153
42	112	149
43	115	146
44	117	143
45	119	140
46	121	137
47	124	134
48	126	131
49	130	130
50	132	127
51	134	124
52	136	120
53	138	117
54	139	114
55	142	111
56	144	108
57	146	105
58	148	103
59	150	100
60	153	97
61	155	95
62	158	92
63	159	89
64	161	87
65	163	84
66	165	81
67	168	79
68	170	76
69	173	74
70	175	71
71	177	69
72	179	66
73	181	63
74	184	61
75	187	59
76	189	56
77	191	53
78	193	51
79	195	48
80	197	46
81	200	43
82	202	41
83	204	39
84	207	36
85	209	34
86	212	31
87	214	29
88	216	26
89	218	24
90	221	21
91	222	19
92	224	16
93	226	14
94	228	12
95	230	9
96	232	7
97	234	4
98	235	2
99	239	0
